station,latitude,longitude,depth,faultnormal_dist,locside
CCRB,35.95718,-120.55158,251,3.027716559481057,pacific
EADB,35.89522,-120.42262,245,0.8523223587277089,northamerican
FROB,35.91095,-120.48688,284,2.222301083306288,pacific
GHIB,35.83225,-120.34728,63,1.1039754579907775,northamerican
JCNB,35.93897,-120.43112,224,3.583676058364774,northamerican
JCSB,35.92117,-120.434,155,2.0524579518723067,northamerican
LCCB,35.98006,-120.51423,252,1.1706063287584836,northamerican
MMNB,35.9565,-120.496,221,0.6038929576080027,northamerican
RMNB,36.00087,-120.47772,73,5.155093784920238,northamerican
SCYB,36.00942,-120.53661,252,1.8971916330448777,northamerican
SMNB,35.97297,-120.57988,282,3.7133063469097376,pacific
VARB,35.92608,-120.44705,298,1.557274953573053,northamerican
VCAB,35.92162,-120.53392,200,4.535802177291879,pacific
